"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Gujarat","Ahmedabad","Ahmedabad","Yam (Ratalu)","Other","02/01/2023","4000","6000","5250","2023-01-27"
"Gujarat","Ahmedabad","Ahmedabad","Yam (Ratalu)","Other","03/01/2023","4000","6500","5750","2023-01-27"
"Gujarat","Ahmedabad","Ahmedabad","Yam (Ratalu)","Other","04/01/2023","4000","6500","5500","2023-01-27"
"Gujarat","Ahmedabad","Ahmedabad","Yam (Ratalu)","Other","06/01/2023","4000","7000","6250","2023-01-27"
"Gujarat","Ahmedabad","Ahmedabad","Yam (Ratalu)","Other","09/01/2023","4000","7000","5500","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","01/01/2023","5500","6500","6000","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","02/01/2023","5500","6000","5750","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","03/01/2023","5500","6500","6000","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","04/01/2023","5500","6000","5750","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","05/01/2023","7000","7000","7000","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","07/01/2023","6500","7000","6750","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","08/01/2023","6500","7000","6750","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","09/01/2023","8000","8500","8250","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","10/01/2023","8000","8500","8200","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","11/01/2023","8000","8500","8200","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","12/01/2023","8000","8500","8200","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","13/01/2023","8000","8500","8200","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","18/01/2023","8300","8300","8300","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","20/01/2023","8200","8200","8200","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","21/01/2023","8200","8200","8200","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","22/01/2023","7000","7000","7000","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","24/01/2023","8200","8200","8200","2023-01-27"
"Gujarat","Dahod","Dahod(Veg. Market)","Yam (Ratalu)","Other","25/01/2023","8000","8200","8200","2023-01-27"
"Gujarat","Surat","Surat","Yam (Ratalu)","Other","02/01/2023","4000","7000","5500","2023-01-27"
"Gujarat","Surat","Surat","Yam (Ratalu)","Other","03/01/2023","3750","6750","5250","2023-01-27"
"Gujarat","Surat","Surat","Yam (Ratalu)","Other","04/01/2023","3500","6500","5000","2023-01-27"
"Gujarat","Surat","Surat","Yam (Ratalu)","Other","05/01/2023","3750","7000","5375","2023-01-27"
"Gujarat","Surat","Surat","Yam (Ratalu)","Other","06/01/2023","3750","7000","5375","2023-01-27"
"Gujarat","Surat","Surat","Yam (Ratalu)","Other","07/01/2023","4000","8000","6000","2023-01-27"
"Gujarat","Surat","Surat","Yam (Ratalu)","Other","09/01/2023","3500","8000","5750","2023-01-27"
